Tier,LVL1,LVL2,LVL3,LVL4,Weight
2,"""Gold"": 5","""Gold"": 10","""Gold"": 15","""Gold"": 20",20
2,"""Gold"": 10","""Gold"": 15","""Gold"": 20","""Gold"": 25",20
2,"""Stone"": 1","""Stone"": 2","""Stone"": 3","""Stone"": 4",10
2,"""Wood"": 2","""Wood"": 3","""Wood"": 4","""Wood"": 5",20
2,"""JettonForBlackJackCubes"": 1","""JettonForBlackJackCubes"": 1","""JettonForBlackJackCubes"": 1","""JettonForBlackJackCubes"": 2",10
2,"""JettonForPackLock"": 1","""JettonForPackLock"": 1","""JettonForPackLock"": 1","""JettonForPackLock"": 2",10
2,"""Metall"": 2","""Metall"": 3","""Metall"": 4","""Metall"": 5",10
3,"""Gold"": 5","""Gold"": 10","""Gold"": 15","""Gold"": 20",20
3,"""Gold"": 10","""Gold"": 15","""Gold"": 20","""Gold"": 25",20
3,"""Stone"": 1","""Stone"": 2","""Stone"": 3","""Stone"": 4",7.5
3,"""Wood"": 2","""Wood"": 3","""Wood"": 4","""Wood"": 5",15
3,"""JettonForBlackJackCubes"": 1","""JettonForBlackJackCubes"": 1","""JettonForBlackJackCubes"": 1","""JettonForBlackJackCubes"": 2",7
3,"""JettonForPackLock"": 1","""JettonForPackLock"": 1","""JettonForPackLock"": 1","""JettonForPackLock"": 2",7
3,"""Metall"": 1","""Metall"": 2","""Metall"": 3","""Metall"": 4",7.5
3,"""DragonTooth"": 3","""DragonTooth"": 4","""DragonTooth"": 5","""DragonTooth"": 6",15
